P,P_Level
107,VH
39,VH
22,MH
21,M
17,M
33,H
14,L
33,H
136,VH
21,M
22,MH
169,VH
45,VH
217,VH
46,VH
109,VH
160,VH
89,VH
100,VH
20,M
97,VH
114,VH
49,VH
43,VH
96,VH
46,VH
48,VH
46,VH
100,VH
99,VH
44,VH
61,VH
91,VH
48,VH
16,M
40,VH
52,VH
28,MH
24,MH
34,H
28,MH
101,VH
28,MH
19,M
21,M
45,VH
22,MH
22,MH
26,MH
24,MH
22,MH
136,VH
33,H
21,M
24,MH
24,MH
48,VH
46,VH
35,VH
40,VH
43,VH
39,VH
40,VH
44,VH
39,VH
47,VH
47,VH
39,VH
55,VH
40,VH
41,VH
45,VH
52,VH
42,VH
43,VH
37,VH
41,VH
45,VH
39,VH
34,H
31,H
35,VH
12,L
33,H
37,VH
15,M
16,M
31,H
37,VH
37,VH
39,VH
35,VH
33,H
31,H
37,VH
31,H
39,VH
20,M
276,VH
213,VH
206,VH
50,VH
78,VH
108,VH
129,VH
103,VH
92,VH
98,VH
26,MH
128,VH
250,VH
184,VH
277,VH
171,VH
259,VH
88,VH
156,VH
176,VH
90,VH
253,VH
24,MH
10,L
10,L
20,M
30,H
26,MH
93,VH
93,VH
17,M
18,M
8,L
30,H
15,M
112,VH
15,M
115,VH
8,L
8,L
6,VL
92,VH
27,MH
3,VL
89,VH
94,VH
97,VH
100,VH
118,VH
10,L
89,VH
112,VH
18,M
8,L
5,VL
49,VH
2,VL
2,VL
98,VH
10,L
25,MH
13,L
10,L
11,L
10,L
10,L
12,L
11,L
9,L
10,L
16,M
15,M
10,L
17,M
17,M
10,L
12,L
24,MH
31,H
11,L
7,VL
10,L
10,L
10,L
298,VH
13,L
12,L
10,L
10,L
16,M
12,L
85,VH
89,VH
82,VH
129,VH
188,VH
80,VH
165,VH
92,VH
8,L
6,VL
92,VH
27,MH
3,VL
89,VH
94,VH
97,VH
100,VH
118,VH
10,L
89,VH
112,VH
18,M
8,L
5,VL
49,VH
2,VL
2,VL
98,VH
124,VH
224,VH
112,VH
17,M
13,L
40,VH
8,L
97,VH
123,VH
69,VH
12,L
4,VL
2,VL
260,VH
51,VH
12,L
246,VH
46,VH
96,VH
70,VH
16,M
98,VH
14,L
12,L
5,VL
9,L
9,L
85,VH
113,VH
103,VH
26,MH
14,L
12,L
260,VH
12,L
4,VL
200,VH
7,VL
6,VL
8,L
16,M
14,L
13,L
15,M
12,L
8,L
218,VH
19,M
21,M
19,M
23,MH
18,M
21,M
19,M
30,H
16,M
18,M
24,MH
26,MH
21,M
10,L
25,MH
13,L
10,L
11,L
10,L
10,L
12,L
11,L
9,L
10,L
16,M
15,M
10,L
17,M
17,M
10,L
12,L
10,L
11,L
11,L
7,VL
10,L
10,L
10,L
298,VH
13,L
12,L
10,L
10,L
16,M
12,L
85,VH
89,VH
82,VH
129,VH
188,VH
80,VH
165,VH
92,VH
79,VH
156,VH
154,VH
130,VH
93,VH
92,VH
80,VH
45,VH
102,VH
72,VH
61,VH
151,VH
71,VH
67,VH
136,VH
169,VH
93,VH
146,VH
60,VH
32,H
76,VH
156,VH
69,VH
72,VH
110,VH
179,VH
120,VH
48,VH
100,VH
227,VH
141,VH
186,VH
99,VH
179,VH
186,VH
145,VH
153,VH
103,VH
47,VH
98,VH
113,VH
101,VH
77,VH
208,VH
132,VH
209,VH
101,VH
97,VH
209,VH
111,VH
161,VH
146,VH
163,VH
160,VH
53,VH
95,VH
114,VH
185,VH
57,VH
193,VH
195,VH
95,VH
188,VH
124,VH
108,VH
74,VH
103,VH
148,VH
107,VH
149,VH
162,VH
79,VH
99,VH
179,VH
84,VH
156,VH
114,VH
175,VH
102,VH
182,VH
55,VH
74,VH
52,VH
58,VH
56,VH
103,VH
144,VH
118,VH
68,VH
55,VH
56,VH
32,H
5,VL
50,VH
55,VH
82,VH
54,VH
69,VH
41,VH
1148,VH
52,VH
49,VH
114,VH
20,M
32,H
54,VH
40,VH
108,VH
56,VH
114,VH
153,VH
90,VH
86,VH
87,VH
48,VH
54,VH
63,VH
108,VH
98,VH
56,VH
117,VH
63,VH
46,VH
127,VH
61,VH
58,VH
67,VH
59,VH
69,VH
77,VH
82,VH
56,VH
43,VH
67,VH
42,VH
111,VH
156,VH
131,VH
152,VH
117,VH
121,VH
74,VH
76,VH
78,VH
75,VH
77,VH
78,VH
92,VH
86,VH
48,VH
65,VH
71,VH
88,VH
97,VH
104,VH
106,VH
130,VH
141,VH
112,VH
72,VH
85,VH
86,VH
98,VH
92,VH
99,VH
86,VH
124,VH
117,VH
78,VH
72,VH
99,VH
90,VH
65,VH
78,VH
106,VH
86,VH
66,VH
87,VH
186,VH
72,VH
56,VH
67,VH
43,VH
