N,N_Level
209.2,L
146.44,L
115.06,L
209.2,L
209.2,L
156.9,L
209.2,L
188.28,L
230.12,L
104.6,L
156.9,L
188.28,L
209.2,L
188.28,L
198.74,L
177.82,L
209.2,L
198.74,L
156.9,L
188.28,L
177.82,L
188.28,L
146.44,L
198.74,L
177.82,L
188.28,L
156.9,L
209.2,L
198.74,L
188.28,L
188.28,L
188.28,L
209.2,L
240.58,M
167.36,L
156.9,L
188.28,L
209.2,L
230.12,L
198.74,L
219.66,L
177.82,L
188.28,L
198.74,L
156.9,L
209.2,L
219.66,L
146.44,L
167.36,L
198.74,L
177.82,L
198.74,L
209.2,L
167.36,L
198.74,L
240.58,M
188.28,L
188.28,L
177.82,L
167.36,L
209.2,L
177.82,L
167.36,L
209.2,L
188.28,L
156.9,L
198.74,L
209.2,L
219.66,L
209.2,L
188.28,L
315.189,M
198.74,L
177.82,L
167.36,L
167.36,L
177.82,L
188.28,L
209.2,L
198.74,L
480.5,H
230.12,L
156.9,L
209.2,L
188.28,L
188.28,L
209.2,L
230.12,L
209.2,L
198.74,L
188.28,L
188.28,L
188.28,L
209.2,L
209.2,L
177.82,L
209.2,L
188.28,L
219.66,L
156.9,L
167.36,L
177.82,L
167.36,L
167.36,L
167.36,L
156.9,L
146.44,L
209.2,L
146.44,L
177.82,L
156.9,L
188.28,L
177.82,L
177.82,L
188.28,L
177.82,L
177.82,L
240.58,M
209.2,L
177.82,L
198.74,L
219.66,L
167.36,L
209.2,L
198.74,L
167.36,L
177.82,L
177.82,L
167.36,L
198.74,L
209.2,L
198.74,L
198.74,L
167.36,L
156.9,L
219.66,L
198.74,L
209.2,L
209.2,L
188.28,L
198.74,L
167.36,L
209.2,L
198.74,L
188.28,L
156.9,L
271.96,M
209.2,L
219.66,L
219.66,L
209.2,L
271.96,M
271.96,M
188.28,L
167.36,L
198.74,L
261.5,M
240.58,M
188.28,L
198.74,L
240.58,M
261.5,M
188.28,L
156.9,L
188.28,L
198.74,L
219.66,L
167.36,L
167.36,L
177.82,L
177.82,L
177.82,L
156.9,L
188.28,L
177.82,L
198.74,L
209.2,L
209.2,L
177.82,L
177.82,L
209.2,L
156.9,L
135.98,L
156.9,L
209.2,L
177.82,L
198.74,L
209.2,L
209.2,L
188.28,L
209.2,L
156.9,L
188.28,L
115.06,L
209.2,L
177.82,L
198.74,L
177.82,L
167.36,L
188.28,L
292.88,M
261.5,M
261.5,M
261.5,M
240.58,M
487,H
271.96,M
261.5,M
251.04,M
292.88,M
303.34,M
271.96,M
313.8,M
261.5,M
271.96,M
251.04,M
261.5,M
271.96,M
251.04,M
240.58,M
261.5,M
156.9,L
219.66,L
251.04,M
240.58,M
240.58,M
219.66,L
261.5,M
261.5,M
292.88,M
271.96,M
261.5,M
282.42,M
251.04,M
303.34,M
292.88,M
282.42,M
261.5,M
282.42,M
313.8,M
345.18,M
240.58,M
219.66,L
313.8,M
251.04,M
271.96,M
282.42,M
282.42,M
334.72,M
251.04,M
292.88,M
282.42,M
261.5,M
240.58,M
261.5,M
282.42,M
240.58,M
261.5,M
230.12,L
292.88,M
271.96,M
292.88,M
230.12,L
261.5,M
230.12,L
282.42,M
240.58,M
209.2,L
230.12,L
198.74,L
198.74,L
209.2,L
209.2,L
188.28,L
209.2,L
83.68,L
209.2,L
261.5,M
292.88,M
219.66,L
230.12,L
240.58,M
188.28,L
135.98,L
156.9,L
230.12,L
219.66,L
251.04,M
261.5,M
209.2,L
177.82,L
188.28,L
240.58,M
230.12,L
240.58,M
209.2,L
209.2,L
219.66,L
198.74,L
219.66,L
209.2,L
188.28,L
188.28,L
156.9,L
167.36,L
188.28,L
209.2,L
177.82,L
240.58,M
167.36,L
209.2,L
177.82,L
188.28,L
209.2,L
230.12,L
188.28,L
271.96,M
240.58,M
230.12,L
234.08,L
180.88,L
230.12,L
240.58,M
230.12,L
219.66,L
177.82,L
198.74,L
156.9,L
177.82,L
209.2,L
240.58,M
188.28,L
219.66,L
177.82,L
177.82,L
209.2,L
209.2,L
230.12,L
261.5,M
209.2,L
188.28,L
198.74,L
209.2,L
167.36,L
209.2,L
167.36,L
177.82,L
177.82,L
240.58,M
209.2,L
209.2,L
188.28,L
209.2,L
209.2,L
198.74,L
188.28,L
209.2,L
155.2,L
135.8,L
164.9,L
213.4,L
203.7,L
252.2,M
155.2,L
194,L
174.6,L
164.9,L
126.1,L
184.3,L
194,L
194,L
126.1,L
174.6,L
184.3,L
242.5,M
155.2,L
164.9,L
174.6,L
164.9,L
184.3,L
194,L
164.9,L
194,L
194,L
203.7,L
184.3,L
203.7,L
194,L
213.4,L
174.6,L
232.8,L
194,L
194,L
194,L
223.1,L
194,L
194,L
194,L
203.7,L
174.6,L
164.9,L
164.9,L
184.3,L
164.9,L
174.6,L
164.9,L
145.5,L
310.4,M
700,H
184.3,L
174.6,L
164.9,L
174.6,L
174.6,L
184.3,L
174.6,L
164.9,L
194,L
213.4,L
194,L
194,L
213.4,L
174.6,L
164.9,L
174.6,L
145.5,L
164.9,L
164.9,L
145.5,L
174.6,L
155.2,L
145.5,L
174.6,L
164.9,L
184.3,L
174.6,L
164.9,L
155.2,L
135.8,L
145.5,L
155.2,L
223.1,L
184.3,L
194,L
155.2,L
184.3,L
126.1,L
184.3,L
145.5,L
184.3,L
194,L
164.9,L
184.3,L
164.9,L
174.6,L
164.9,L
174.6,L
155.2,L
164.9,L
145.5,L
155.2,L
126.1,L
174.6,L
194,L
194,L
174.6,L
164.9,L
174.6,L
164.9,L
145.5,L
174.6,L
213.4,L
223.1,L
194,L
184.3,L
174.6,L
174.6,L
135.8,L
145.5,L
145.5,L
194,L
174.6,L
194,L
184.3,L
164.9,L
492,H
164.9,L
174.6,L
184.3,L
194,L
145.5,L
223.1,L
155.2,L
174.6,L
155.2,L
174.6,L
164.9,L
174.6,L
184.3,L
164.9,L
194,L
135.8,L
155.2,L
184.3,L
