Ca,Mg,K,S,N,Lime,C,P,Moisture
3.58,48.97,127.89,10,212.856,6.03,1.39,48,0.5
1.58,31.32,265.11,8,212.856,6.22,0.89,312,0.5
1.3,12.21,394.42,13,202.72,5.94,0.94,278,0.6
2.02,49.26,346.69,1,202.72,6.02,1.95,210,0.6
1.9,20.93,522.31,10,202.72,4.89,0.91,340,0.8
1.62,37.11,69.55,6,202.72,6.43,0.95,315,0.5
1.34,32.5,461.15,24,222.992,6.39,1.15,62,0.5
7.7,11.62,100.73,17,172.312,6.74,1.54,21,0.9
5.58,27.5,103.22,2,202.72,6.11,1.21,81,0.9
2.18,41.72,78.78,8,172.312,6.11,0.91,105,0.6
2.34,40.15,23.8,7,162.176,5.57,0.8,30,0.9
3.1,53.28,295.86,8,172.312,6.08,1.26,192,0.8
8.1,27.5,282.73,10,172.312,6.23,1.59,83,0.6
4.7,68.68,235.15,6,192.584,6.13,0.83,317,0.9
2.1,37.99,249.55,11,141.904,5.72,0.94,132,0.7
2.46,36.13,311.07,9,192.584,6.05,1.82,226,0.5
3.18,36.23,154.43,10,202.72,6.06,1.09,75,0.5
1.98,29.46,501.1,7,212.856,6.46,1.46,80,0.8
3.62,26.13,416.71,11,152.04,6.13,1.13,199,0.7
4.5,49.56,77.3,9,162.176,6.21,1.01,46,0.9
3.3,46.72,239.01,11,182.448,6.49,0.98,53,0.7
2.42,36.42,61.47,8,182.448,6.56,0.68,19,0.7
3.54,11.32,155.12,10,192.584,6.51,0.93,301,0.8
1.94,35.64,82.4,10,202.72,6.13,0.88,27,0.7
5.02,61.62,218.81,13,202.72,6.7,1.02,96,0.6
3.46,40.93,184.83,14,152.04,5.37,1.16,127,0.7
3.78,11.13,161.28,10,152.04,6.06,0.64,85,0.7
2.42,55.64,378.53,13,162.176,6.22,1.64,260,0.9
2.02,35.15,442.08,14,192.584,6.41,1.25,263,0.6
2.1,51.72,523.12,11,152.04,5.96,1.59,107,0.9
3.5,39.66,157.5,13,212.856,6.46,1.11,33,0.9
4.54,26.32,93.65,13,192.584,6.07,0.92,66,0.5
1.5,24.66,146.47,17,192.584,5.96,0.68,43,0.5
1.86,27.11,255.21,36,202.72,6.5,0.98,40,0.6
1.7,35.83,245.56,14,202.72,5.95,1.05,43,0.6
3.98,55.83,213.1,11,202.72,5.56,1.08,229,0.9
7.82,50.83,93.38,8,212.856,5.97,1.25,176,0.5
2.82,18.19,58.8,8,202.72,6.13,1.17,284,0.5
0.74,40.25,351.61,14,233.128,6.3,1.14,104,0.7
3.94,6.324,153.87,14,202.72,6.56,1,29,0.9
2.58,39.26,581.11,12,202.72,6.16,0.94,116,0.8
1.66,67.01,590.2,24,222.992,5.33,1.18,165,0.5
5.7,13.97,63.6,10,202.72,6.25,0.9,71,0.5
3.22,37.5,144.19,18,243.264,6.4,1.85,28,0.8
1.66,35.83,301.25,18,202.72,6.15,1.09,174,0.9
1.66,53.09,283.02,13,172.312,6.36,1.05,209,0.5
2.74,35.15,382.75,10,192.584,6.04,1.29,129,0.8
1.94,24.46,241.43,11,192.584,5.01,0.85,105,0.5
2.3,46.81,262.76,12,182.448,5.3,1.36,35,0.8
3.86,39.17,209.43,30,162.176,6.42,0.95,19,0.8
0.66,22.3,177.91,5,202.72,5.68,1.14,57,0.8
1.82,36.52,367.65,13,192.584,5.29,1.21,218,0.6
3.5,44.36,53.28,15,243.264,5.35,1.36,21,0.8
1.62,34.46,29.37,20,172.312,5.35,1.25,20,0.8
8.14,63.97,161.01,11,253.4,5.15,0.96,56,0.5
6.22,45.74,82.25,13,182.448,5.5,1.22,187,0.8
4.02,48.19,71.56,12,172.312,5.73,1.2,89,0.7
1.18,43.77,122.97,7,182.448,5.16,1.46,90,0.5
1.9,36.81,504.23,9,192.584,5.21,1.26,209,0.9
2.54,43.38,512.38,12,202.72,5.34,0.96,34,0.6
