Ca,Mg,K,S,N,Lime,C,P,Moisture
1.057,17.78,274.73,14,167.36,7.51,0.72,37,0.5
0.938,16.96,295.34,13,188.28,7.53,0.7,36,0.9
1.2,25.67,390.46,12,198.74,7.49,0.64,28,0.6
1.081,22.42,310.88,12,167.36,7.18,0.55,43,0.6
1.722,18.81,292.9,19,209.2,7.52,0.77,107,0.9
1.105,19.02,320.21,17,188.28,7.42,0.48,46,0.7
1.057,20.15,289.6,15,167.36,7.21,0.57,44,0.5
0.629,9.588,278.22,13,156.9,7.95,0.59,27,0.8
1.01,20.52,316.12,16,177.82,7.4,0.46,155,0.8
1.746,10.82,317.74,17,156.9,7.9,0.56,27,0.8
1.152,22.58,309.05,15,209.2,7.5,0.6,48,0.5
1.841,17.01,594.76,16,156.9,7.78,1.38,85,0.7
1.105,12.94,289.71,15,125.52,7.86,0.51,24,0.5
1.997,34.85,304.25,20,156.9,6.6,0.38,47,0.7
1.827,25.36,292.16,17,146.44,7.25,0.38,25,0.8
2.195,22.99,294.11,20,167.36,7.34,0.36,71,0.6
1.912,34.64,335.68,19,146.44,7.36,0.75,28,0.6
2.224,34.64,362.15,22,177.82,7.2,0.63,29,0.6
2.224,30.31,346.71,19,188.28,7.36,0.49,23,0.5
2.564,28.25,274.29,22,167.36,7.7,0.56,45,0.6
1.799,26.08,455.37,20,188.28,7.73,0.54,43,0.9
2.224,35.26,283.57,23,188.28,7.19,0.43,32,0.5
2.054,20.82,292.16,23,198.74,7.51,0.3,23,0.9
1.856,40.21,379.06,19,188.28,7.32,0.41,24,0.6
2.11,34.64,302.84,21,177.82,7.31,0.53,21,0.8
2.054,40,268.79,20,156.9,7.32,0.72,17,0.9
2.082,38.66,229.29,20,135.98,7.2,0.47,16,0.9
2.054,41.44,382.64,24,125.52,7.18,0.6,27,0.5
1.771,44.33,384.99,22,115.06,7.24,0.43,26,0.7
1.714,38.35,386.17,22,177.82,7.3,0.55,25,0.7
2.025,37.42,425.9,21,146.44,7.29,0.56,28,0.8
2.025,22.99,360.28,24,167.36,7.66,0.37,19,0.6
1.856,20.31,341.74,26,125.52,7.61,0.29,22,0.7
1.941,33.81,251.34,22,146.44,7.34,0.42,15,0.5
2.139,35.26,294.2,25,167.36,7.42,0.61,30,0.9
1.572,35.26,372.69,25,198.74,739,0.6,31,0.9
1.771,35.57,249.55,28,177.82,7.4,0.46,32,0.8
2.025,24.23,280.68,28,167.36,7.51,0.52,103,0.6
2.649,43.61,263.51,21,167.36,7.25,0.45,18,0.6
1.969,36.6,309.06,22,209.2,7.32,0.58,26,0.6
1.742,38.56,388.63,24,146.44,7.31,0.57,25,0.9
1.856,36.29,289.18,24,177.82,7.42,0.67,30,0.7
1.827,30.72,278.06,20,156.9,7.39,0.48,23,0.8
1.402,30.21,323.41,21,146.44,7.25,0.38,33,0.5
1.516,30.41,373.28,21,125.52,7.38,0.49,23,0.8
2.025,20,318.07,20,188.28,7.66,0.34,21,0.7
2.734,29.48,428.46,22,209.2,7.75,0.64,33,0.7
1.912,24.95,399.93,24,146.44,7.84,0.34,22,0.6
1.912,25.57,417.39,21,167.36,7.72,0.36,18,0.6
2.28,27.84,418.67,21,156.9,7.51,0.47,23,0.6
2.195,43.09,354.3,21,167.36,7.15,0.66,20,0.9
1.459,31.34,343.42,23,188.28,7.12,0.41,43,0.9
1.686,29.69,382.56,29,188.28,7.67,0.58,21,0.7
1.629,28.97,420.54,24,167.36,7.65,0.53,19,0.8
1.714,27.11,223.95,24,209.2,7.81,0.52,69,0.7
1.941,25.15,364.09,83,188.28,7.37,0.54,62,0.9
1.629,34.54,366.43,27,167.36,7.7,0.49,44,0.6
1.969,35.77,369.39,24,167.36,7.56,0.27,36,0.5
2.309,26.29,286.04,23,125.52,7.68,0.31,46,0.6
2.535,26.49,265.36,26,125.52,7.63,0.44,41,0.9
1.374,25.05,227.69,25,125.52,7.9,0.43,28,0.5
1.742,24.02,206.78,24,156.9,8.04,0.48,36,0.7
2.025,22.47,405.68,28,167.36,7.71,0.41,25,0.6
2.337,41.86,510.22,25,188.28,7.74,1.11,75,0.6
2.139,28.45,397.58,24,177.82,7.85,0.78,61,0.5
1.969,26.8,345.02,24,167.36,7.9,0.36,22,0.5
2.365,28.56,271.38,27,167.36,7.51,0.59,110,0.5
2.337,24.12,312.71,26,156.9,7.7,0.33,28,0.5
1.572,28.45,201.07,27,156.9,7.97,0.43,30,0.8
2.337,24.12,420.4,24,167.36,7.63,0.37,23,0.5
1.459,26.49,186.72,31,156.9,7.95,0.74,23,0.9
2.139,25.67,251.11,31,177.82,7.8,0.47,43,0.5
1.006,25.98,344.94,27,156.9,7.51,0.52,46,0.5
1.459,24.95,351.48,26,177.82,7.77,0.34,24,0.5
1.686,26.39,364.19,27,167.36,7.7,0.32,30,0.6
2.62,35.77,444.22,26,146.44,7.18,0.62,34,0.6
2.025,37.01,470.92,32,188.28,7.54,0.66,25,0.8
1.459,26.08,326.76,25,146.44,7.89,0.39,31,0.5
2.28,22.99,405.21,32,156.9,7.67,0.34,20,0.9
2.309,28.76,349.87,31,167.36,7.6,0.53,128,0.8
1.629,24.23,275.11,30,135.98,8.05,0.52,88,0.9
2.904,28.14,292.01,28,156.9,7.75,0.44,43,0.8
1.912,24.23,465.67,24,156.9,7.61,0.47,37,0.8
1.374,40.62,381.59,23,135.98,7.98,0.32,36,0.8
1.827,25.77,460.6,25,167.36,7.71,0.44,28,0.9
2.139,27.22,475.81,24,188.28,7.64,0.49,24,0.8
2.337,24.64,442.88,26,177.82,7.67,0.42,34,0.7
2.28,29.9,440.31,26,156.9,7.68,0.63,22,0.6
1.686,22.68,434.57,28,167.36,7.72,0.65,25,0.8
1.516,19.69,221.45,69,167.36,7.85,0.42,15,0.8
2.507,34.85,270.99,30,156.9,7.91,0.45,31,0.9
2.422,37.32,310.55,29,177.82,7.56,0.57,59,0.6
1.601,26.91,235.66,27,167.36,7.92,0.68,88,0.6
2.762,32.89,244.03,25,209.2,7.43,0.55,36,0.9
1.884,23.51,205.8,27,177.82,8.07,0.52,30,0.8
2.025,25.88,230.76,28,209.2,8.05,0.47,37,0.7
1.827,31.34,449.67,30,188.28,7.73,0.55,24,0.8
1.431,24.02,302.46,21,167.36,8.04,0.42,49,0.6
2.309,25.88,310.87,24,198.74,7.84,0.37,38,0.5
1.374,24.95,236.08,26,209.2,8.02,0.5,26,0.6
1.657,35.36,430.18,23,219.66,7.72,0.53,29,0.5
1.572,21.13,224.73,30,188.28,7.76,0.5,23,0.6
1.686,32.16,376.2,28,209.2,7.78,0.54,26,0.7
3.102,41.65,337.42,24,146.44,7.3,0.38,27,0.8
2.252,40.41,328.52,15,115.06,7.41,0.44,32,0.9
2.309,35.57,356.19,17,209.2,7.12,0.43,35,0.5
2.139,34.33,361.26,5,209.2,7.3,0.5,35,0.9
2.365,34.54,449.37,5,156.9,7.78,0.62,37,0.8
2.309,33.61,319.24,6,209.2,7.24,0.54,61,0.6
2.535,65.57,307.12,15,188.28,7.14,0.52,42,0.9
2.875,58.56,350.38,23,230.12,7.11,0.51,35,0.6
2.252,37.42,353.1,11,104.6,7.12,0.39,27,0.5
2.422,36.91,359.31,10,156.9,7.1,0.37,40,0.5
2.535,39.18,362.24,17,188.28,7.4,0.45,31,0.9
3.3,45.46,349.53,90,209.2,7.1,0.54,34,0.5
2.932,54.64,326.64,77,188.28,7.05,0.49,36,0.7
4.065,53.61,349.99,77,198.74,7.08,0.52,30,0.5
3.102,44.74,328.69,16,177.82,7.01,0.47,3,0.8
2.365,37.32,326.29,10,209.2,7.43,0.65,33,0.7
2.365,39.18,384.76,18,198.74,7.35,0.53,37,0.8
2.932,42.58,342.73,21,156.9,7.43,0.6,32,0.9
2.11,37.11,341.23,9,188.28,7.45,0.46,37,0.8
1.912,36.39,375.86,10,177.82,7.87,0.41,17,0.7
1.742,23.61,425.3,15,188.28,7.6,0.51,117,0.8
1.091,19.18,382.86,23,146.44,7.92,0.32,30,0.7
2.025,23.92,379.94,11,198.74,7.93,0.27,34,0.5
1.771,23.4,382.03,8,177.82,7.9,0.29,20,0.6
2.167,37.53,512.23,3,188.28,7.84,0.51,15,0.5
1.374,18.35,247.22,62,156.9,7.9,0.36,14,0.8
1.544,22.16,232.92,7,209.2,8.1,0.65,24,0.9
2.309,20.21,359.97,3,198.74,8.05,0.41,22,0.7
1.317,21.86,274.77,6,188.28,8.09,0.51,83,0.9
1.572,35.46,388.43,8,188.28,7.72,0.4,51,0.6
1.809,25.2,342.4,4,188.28,7.08,0.35,62,0.6
1.778,18.13,225.35,6,209.2,7.8,0.27,56,0.8
1.109,19.8,412.4,5,240.58,7.53,0.33,46,0.6
1.261,15.15,353.47,8,167.36,7.7,0.34,45,0.9
1.261,17.42,359.92,6,156.9,7.65,0.32,38,0.8
1.018,14.39,286.19,5,188.28,7.72,0.52,31,0.5
1.505,13.13,336.39,89,209.2,7.71,0.3,34,0.8
0.866,10.56,321.83,8,230.12,7.73,0.28,37,0.8
1.231,13.13,251.59,10,198.74,7.86,0.44,90,0.9
1.353,20.3,382.14,9,219.66,7.62,0.54,56,0.5
1.657,20.56,402.64,12,177.82,7.65,0.45,33,0.9
0.775,13.64,313.71,8,188.28,7.96,0.46,51,0.8
1.96,27.42,408.3,8,198.74,7.62,0.3,49,0.5
1.292,14.24,249.23,3,156.9,7.67,0.43,36,0.6
1.413,14.9,316.45,6,209.2,7.84,0.54,81,0.7
1.657,9.798,337.84,8,219.66,7.94,0.5,31,0.9
1.292,13.08,314.81,8,146.44,8.01,0.38,35,0.8
1.505,18.13,371.77,12,167.36,7.9,0.31,35,0.5
0.897,12.32,354.46,9,198.74,7.94,0.5,160,0.5
1.322,13.43,432.99,7,177.82,7.9,0.29,50,0.7
1.839,17.07,310.28,5,198.74,7.82,0.32,53,0.6
1.626,10.61,350.6,28,209.2,7.97,0.49,39,0.9
1.383,15.15,380.49,17,167.36,7.84,0.53,54,0.9
1.17,22.02,349.1,12,198.74,7.56,0.39,41,0.5
1.565,20.05,363.26,17,240.58,7.78,0.39,116,0.8
0.927,24.95,338.58,14,188.28,7.4,0.29,70,0.5
0.897,13.89,275.13,11,188.28,7.04,0.4,46,0.5
1.322,18.23,388.91,10,177.82,7.9,0.42,35,0.7
1.353,16.67,403.87,12,167.36,7.79,0.32,28,0.9
1.261,18.43,458.25,6,209.2,7.63,0.44,48,0.7
1.778,16.41,347.73,4,177.82,7.86,0.34,13,0.8
1.413,24.6,335.54,4,167.36,7.95,0.24,7,0.5
1.839,28.43,441.79,10,209.2,7.65,0.55,45,0.6
1.353,27.47,398.94,13,188.28,7.54,0.45,36,0.9
0.927,14.29,432.99,5,156.9,7.55,0.63,30,0.6
0.775,18.94,430.67,10,198.74,7.59,0.64,160,0.9
1.444,15.2,319.08,4,209.2,7.82,0.41,40,0.8
0.988,17.83,303.46,7,219.66,7.67,0.39,34,0.6
1.109,15.91,380.83,8,209.2,7.49,0.39,131,0.8
0.775,13.03,346.58,8,188.28,7.98,0.38,30,0.8
1.717,24.85,334.89,5,315.189,7.96,0.41,38,0.9
0.775,12.47,347.12,15,198.74,7.5,0.31,44,0.6
1.231,15.15,284.58,8,177.82,7.23,0.31,46,0.9
1.231,23.43,351.69,10,167.36,7.75,0.39,8,0.8
1.474,16.11,208,54,167.36,7.86,0.35,30,0.9
1.444,14.49,391.44,8,177.82,7.92,0.52,140,0.6
1.839,21.11,420,7,188.28,7.69,0.65,122,0.5
1.109,13.89,263.71,7,209.2,8.01,0.51,27,0.8
1.991,29.04,292.79,4,198.74,7.19,0.51,18,0.8
1.748,21.06,344.78,3,198.74,7.82,0.4,142,0.5
1.14,21.26,389.45,5,230.12,7.63,0.57,27,0.8
1.535,22.73,304.11,7,156.9,7.93,0.45,44,0.9
1.261,14.24,314.37,6,209.2,7.94,0.28,42,0.6
1.322,18.84,296.79,6,188.28,7.94,0.48,27,0.5
1.383,24.44,405.9,14,188.28,7.35,0.8,26,0.6
1.353,30.3,385.58,7,209.2,7.7,0.65,87,0.8
1.535,29.55,352.46,11,230.12,7.74,0.69,101,0.6
1.687,18.84,353.36,7,209.2,7.76,0.56,101,0.6
1.444,25.05,281.75,6,198.74,7.79,0.38,26,0.9
1.353,30.71,312.49,13,188.28,7.66,0.51,89,0.9
1.292,16.82,337.34,5,188.28,7.84,0.3,48,0.8
1.018,12.47,355.4,16,188.28,7.7,0.41,17,0.9
1.109,23.79,352.49,18,209.2,7.44,0.4,23,0.8
1.14,25.76,443.2,7,209.2,7.61,0.39,18,0.7
0.988,16.21,274.9,7,177.82,8.09,0.42,14,0.9
1.869,19.55,365.39,7,209.2,7.72,0.42,67,0.7
1.292,17.98,273.58,11,188.28,8.02,0.32,11,0.9
1.049,21.52,294.11,43,219.66,8.01,0.33,32,0.8
1.535,14.55,33.28,13,156.9,8.02,0.26,15,0.8
1.535,9.646,279.42,5,167.36,8.07,0.4,21,0.5
1.474,10.4,382.56,9,177.82,7.62,0.63,106,0.6
1.14,22.27,191.07,6,167.36,8.04,0.43,50,0.7
1.444,26.92,321.33,11,167.36,7.89,0.31,21,0.7
1.474,14.6,421.04,11,167.36,7.71,0.52,22,0.6
0.988,11.41,321.74,28,156.9,7.86,0.38,15,0.7
1.413,15.86,401.26,88,146.44,7.4,0.7,60,0.5
2.021,20.3,382.29,18,209.2,7.68,0.5,117,0.6
0.988,12.68,307.8,7,146.44,8.06,0.27,27,0.7
1.413,25.76,368.73,30,177.82,7.29,0.57,31,0.8
1.626,11.01,313.77,12,156.9,7.6,0.38,91,0.5
1.839,18.18,264.95,13,188.28,7.81,0.3,49,0.5
1.231,16.06,357.57,13,177.82,7.13,0.4,41,0.7
1.109,16.92,265.54,16,177.82,8.06,0.32,61,0.5
1.079,16.62,185.33,13,188.28,7.89,0.38,35,0.8
1.809,27.42,278.72,14,177.82,7.68,0.29,27,0.5
1.413,20.05,380.08,12,177.82,7.56,0.42,15,0.7
1.809,22.53,376.63,13,240.58,7.6,0.46,19,0.7
1.869,22.12,361.92,8,209.2,7.55,0.34,140,0.7
1.93,18.64,319.48,18,177.82,7.72,0.43,21,0.6
1.748,20.81,371.24,16,198.74,7.53,0.4,18,0.7
1.353,15.91,392.38,7,219.66,7.78,0.31,13,0.6
1.261,24.7,350.32,12,167.36,7.59,0.5,11,0.7
1.261,31.57,507.72,12,209.2,7.52,0.48,24,0.6
1.474,29.39,302.19,9,198.74,7.2,0.34,26,0.6
1.231,31.01,481.18,13,167.36,7.63,0.48,18,0.9
1.505,32.68,410.03,12,177.82,7.67,0.49,16,0.9
1.201,24.24,308.18,11,177.82,7.75,0.31,14,0.8
1.93,27.32,448.14,4,167.36,7.38,0.46,12,0.5
1.565,28.13,304.54,7,198.74,7.05,0.35,23,0.7
1.778,20.45,407.08,8,209.2,7.82,0.28,13,0.8
1.778,18.54,444.54,5,198.74,7.55,0.29,15,0.8
1.505,29.29,305.4,6,198.74,7.12,0.31,16,0.8
1.991,22.27,401.08,10,167.36,7.85,0.28,8,0.8
1.717,16.82,373.8,4,156.9,7.82,0.24,14,0.8
1.292,26.62,427,5,219.66,7.55,0.39,16,0.7
1.322,27.68,416.95,7,198.74,7.3,0.48,17,0.9
1.505,22.22,339.04,8,209.2,7.58,0.21,96,0.8
1.201,15.66,294.15,7,209.2,8.15,0.29,61,0.5
1.687,26.82,365.43,10,188.28,7.55,0.6,31,0.7
1.14,15.96,406.57,5,198.74,7.7,0.36,8,0.7
1.17,17.42,423.03,11,167.36,8.16,0.4,39,0.5
1.201,27.93,383.79,8,209.2,7.35,0.35,29,0.5
1.14,26.46,378.76,8,198.74,7.32,0.3,27,0.9
1.96,49.39,385.4,11,188.28,7.3,0.45,107,0.8
0.927,19.65,379.63,8,156.9,7.38,0.34,39,0.8
0.927,16.57,426.78,8,271.96,8.08,0.55,22,0.7
0.836,15.56,435.32,11,209.2,8.15,0.56,21,0.8
1.201,18.08,395.01,11,219.66,8.14,0.42,17,0.6
1.261,21.97,334.92,13,219.66,8,0.55,33,0.5
1.109,16.26,345.05,9,209.2,8.1,0.56,14,0.7
2.627,21.71,321.25,12,271.96,7.81,0.42,33,0.6
2.413,18.06,341.77,16,271.96,7.54,0.65,136,0.7
1.96,13.08,336.98,11,188.28,7.73,0.43,21,0.5
1.507,14.44,309.41,15,167.36,7.87,0.45,22,0.6
2.227,17,388.07,15,198.74,7.54,0.6,169,0.9
2.2,23.63,373.02,18,261.5,7.45,0.61,45,0.6
1.667,13.58,229.54,12,240.58,7.9,0.81,217,0.8
1.453,18.59,404.41,11,188.28,7.75,0.6,46,0.5
3.053,22.8,342.42,18,198.74,7.85,0.65,109,0.9
2.333,16.47,364.19,14,240.58,7.68,0.56,160,0.5
2.467,31.18,375.66,12,261.5,7.42,0.68,89,0.6
2.147,30.77,356.17,15,188.28,7.36,0.59,100,0.9
1.32,15.63,378.28,13,156.9,8.2,0.5,20,0.6
2.067,29.78,384.05,14,188.28,7.56,0.65,97,0.8
2.2,31.1,366.28,17,198.74,7.42,0.66,114,0.7
2.04,18.39,451.88,10,219.66,7.65,0.6,49,0.5
1.773,22.27,350.66,20,167.36,7.32,0.58,43,0.8
2.2,30.72,377.1,14,167.36,7.23,0.67,96,0.7
1.853,15.25,331.08,17,177.82,8.06,0.71,46,0.8
1.56,14.14,379.44,23,177.82,8.03,0.78,48,0.5
1.853,23.43,380.36,23,177.82,7.39,0.43,46,0.5
3.347,33.13,381.28,32,156.9,7.42,0.61,100,0.6
3.907,33.81,406.29,27,188.28,7.4,1.04,99,0.9
3.24,24.67,441.74,22,177.82,7.8,0.66,44,0.5
3.107,24.16,474.4,40,198.74,7.35,0.79,61,0.7
2.707,19.3,510.22,23,209.2,7.82,0.71,91,0.7
1.747,23.56,349.71,24,209.2,7.41,0.58,48,0.5
1.64,17.05,448.1,33,177.82,8.21,0.62,16,0.6
1.507,23,334.82,21,177.82,7.48,0.6,40,0.5
2.307,17.68,345.7,17,209.2,8.09,0.78,52,0.6
1.72,18.82,447.36,14,156.9,8.1,0.65,28,0.7
1.667,16.92,417.35,111,135.98,8.19,0.49,24,0.8
1.8,18.32,336.34,16,156.9,8.05,0.58,34,0.8
1.64,16.77,320.29,15,209.2,8.11,0.53,28,0.5
2.173,19.33,328.96,24,177.82,7.83,0.62,101,0.7
1.48,16.34,466.02,15,198.74,8.18,0.59,28,0.7
1.533,16.32,401.78,18,209.2,8.24,0.7,19,0.8
1.933,17.78,542.18,14,209.2,8.24,0.52,21,0.6
1.907,17.2,482.82,13,188.28,8.23,0.57,45,0.8
2.067,24.95,288.63,10,209.2,7.26,0.62,22,0.9
1.587,17.15,474.37,12,156.9,8.16,0.61,22,0.7
1.56,15.78,439.57,15,188.28,8.18,0.61,26,0.6
1.56,16.8,486.94,18,115.06,8.19,0.54,24,0.9
1.64,17.51,439.82,17,209.2,8.3,0.73,22,0.7
2.6,19.43,369.7,29,177.82,7.72,0.73,136,0.5
1.533,21.2,297.96,31,198.74,7.85,0.55,33,0.8
1.747,19.3,358.84,22,177.82,8.23,0.58,21,0.5
1.613,20.14,367.7,17,167.36,8.19,0.68,24,0.8
1.4,15.71,395.41,18,188.28,8.36,0.81,24,0.8
12.28,20.49,244.3,21,292.88,5.42,1.67,48,0.5
10.95,18.52,205.81,11,261.5,5.41,1.54,46,0.9
10.63,19.05,202.46,11,261.5,5.42,1.67,35,0.9
12.92,21.86,210.45,11,261.5,5.37,1.5,40,0.8
10.71,18.44,202.58,15,240.58,5.46,1.64,43,0.9
11.88,19.18,163.88,13,177.82,5.34,1.67,39,0.6
14.49,23.76,196.96,12,271.96,5.35,1.57,40,0.5
12.36,20.49,174.96,13,261.5,5.27,2.42,44,0.6
12.68,20.44,183.75,10,251.04,5.3,1.58,39,0.9
13.59,23.25,118.38,12,292.88,5.33,1.43,47,0.9
10.65,17.94,237.42,11,303.34,5.41,1.56,47,0.7
14.68,24.47,185.33,14,271.96,5.3,1.4,39,0.8
11.27,20.54,200.91,16,313.8,5.31,1.58,55,0.6
11.48,19.73,143.53,13,261.5,5.26,1.43,40,0.9
11.27,19.48,193.23,12,271.96,5.43,2.07,41,0.5
9.613,18.22,214.29,12,251.04,5.29,1.67,45,0.8
9.48,17.91,215.47,14,261.5,5.28,1.36,52,0.8
10.68,18.65,229.89,10,271.96,5.4,1.93,42,0.8
11.29,19.2,192.42,18,251.04,5.25,1.49,43,0.8
13.8,21.56,192.45,15,240.58,5.29,1.67,37,0.9
12.57,21.15,163.6,17,261.5,5.28,1.48,41,0.7
14.2,22.77,206.16,13,156.9,5.15,1.47,45,0.6
11.61,19.53,185.21,13,219.66,5.25,1.62,39,0.6
12.2,19.38,224.36,18,251.04,5.34,0.37,34,0.9
34.44,8.266,75.44,18,240.58,5.7,1.11,31,0.8
14.79,20.82,160.97,17,240.58,5.21,1.9,35,0.9
16.84,13.76,163.92,14,219.66,5.49,1,12,0.8
12.87,20.67,212.7,15,261.5,5.19,1.66,33,0.5
45.08,9.506,49.75,13,261.5,5.75,1.01,37,0.8
42.07,7.81,70.53,13,292.88,5.62,0.98,15,0.6
38.79,16.34,130.69,14,271.96,5.68,1.04,16,0.6
15.43,19.61,199.36,12,261.5,5.46,1.82,31,0.5
11.35,18.04,209.91,21,282.42,5.22,1.69,37,0.7
12.47,21.13,178.91,14,251.04,5.19,1.5,37,0.6
11.45,19.51,195.89,19,303.34,5.4,2.2,39,0.8
13.21,20.29,188.05,13,292.88,5.31,2.23,35,0.9
11.75,18.49,247.3,15,282.42,5.28,2.88,33,0.7
10.31,16.04,211.12,38,261.5,5.58,2.56,31,0.6
11.72,19.96,161.96,26,282.42,5.27,2.5,37,0.5
11.37,19.13,251.83,17,313.8,5.51,2.12,31,0.7
11.85,18.49,274.08,10,345.18,5.35,1.97,39,0.8
7.853,12.01,195.33,5,240.58,5.48,2.14,20,0.9
9.08,14.47,213.83,6,219.66,5.42,2.98,276,0.7
8.707,14.62,226.24,9,313.8,5.45,2.39,213,0.6
8.467,13.41,202,30,251.04,5.43,2.18,206,0.8
7.72,12.65,198.92,3,271.96,5.35,2.63,50,0.7
7.027,11.91,204.12,6,282.42,5.32,2.34,78,0.8
9.053,13.13,191.27,8,282.42,5.46,2.5,108,0.8
7.8,12.04,180.68,1,334.72,5.31,2.73,129,0.8
7.453,13.46,201.62,7,251.04,5.43,2.53,103,0.8
10.81,18.32,224.11,3,292.88,5.3,2.42,92,0.8
8.76,14.72,194.29,13,282.42,5.28,1.74,98,0.9
7.693,12.9,178.98,6,261.5,5.13,1.43,26,0.9
10.47,15.68,206.57,5,240.58,5.44,2.07,128,0.9
8.04,12.44,214.4,7,261.5,5.4,1.61,250,0.5
6.76,11.86,163.05,8,282.42,5.32,1.77,184,0.8
9.64,15.63,237.57,6,240.58,5.32,1.65,277,0.5
7.693,13.33,204.14,23,261.5,5.28,1.83,171,0.6
8.307,14.42,241.42,14,230.12,5.26,1.76,259,0.6
8.973,14.39,186.49,17,292.88,5.39,1.65,88,0.5
8.76,13.78,189.52,5,271.96,5.32,1.9,156,0.7
11.27,17.66,227.5,14,292.88,5.41,2.97,176,0.7
11.16,18.47,189.67,7,230.12,5.18,1.8,90,0.7
13.43,21.66,216.87,8,261.5,5.34,1.77,253,0.5
13.53,21.13,188.89,19,230.12,5.52,1.58,24,0.8
11.72,16.49,501.11,20,282.42,5.92,1.07,10,0.8
11.11,19.38,537.08,16,240.58,5.98,0.98,10,0.7
10.95,18.11,385.04,40,209.2,7.05,0.87,20,0.5
11.27,18.44,525.16,13,230.12,7.24,0.68,30,0.5
10.89,20.32,124.02,16,198.74,6.71,0.5,26,0.7
10.41,19,366.46,23,198.74,7.1,0.61,93,0.9
1.401,14.92,178.43,100,209.2,6.85,0.4,93,0.5
4.181,11.69,431.41,20,209.2,7.34,0.7,17,0.5
1.045,9.178,95.09,27,188.28,6.91,0.3,18,0.9
1.686,17.73,508.19,13,209.2,7.32,0.52,8,0.6
0.926,10.38,91.96,23,83.68,7.18,0.3,30,0.6
1.259,11.71,118.7,42,209.2,6.81,0.46,15,0.9
2.399,12.58,439.57,45,261.5,7.23,0.68,112,0.7
1.639,11.57,194.79,58,292.88,6.99,0.42,15,0.7
1.71,10.49,189.35,54,219.66,6.96,0.36,115,0.9
1.188,12.49,416.44,26,230.12,7.33,0.36,8,0.8
6.698,14.72,460.91,16,240.58,7.49,0.42,8,0.8
1.615,15.36,503.38,21,188.28,7.3,0.38,6,0.5
1.069,14.72,102.71,37,135.98,7.23,0.4,92,0.5
1.52,15.17,350.53,34,156.9,7.08,0.56,27,0.8
6.39,13.64,451.24,18,230.12,7.39,0.38,3,0.9
2.898,13.27,454.22,50,219.66,7.32,0.62,89,0.7
1.663,13.38,122.67,50,251.04,7.05,0.39,94,0.7
2.565,13.8,441.2,38,261.5,7.32,0.42,97,0.5
2.28,13.33,354.39,20,209.2,7.28,0.6,100,0.8
6.841,13.08,402.6,15,177.82,7.36,0.58,118,0.6
1.948,17.03,133.19,40,188.28,6.81,0.61,10,0.9
1.354,11.27,111.18,38,240.58,6.86,0.43,89,0.6
1.354,10.13,130.57,44,230.12,6.61,0.51,112,0.5
1.615,12.21,103.55,34,240.58,6.91,0.6,18,0.5
1.496,14.5,117.29,60,209.2,6.61,0.45,8,0.8
0.998,11.49,83.64,30,209.2,6.91,0.35,5,0.8
1.306,9.178,169.5,32,219.66,6.87,0.61,49,0.5
1.354,13.47,336.5,33,198.74,7.27,0.45,2,0.7
1.71,18.51,524.45,29,219.66,7.28,0.3,2,0.8
1.568,14.89,114.82,55,209.2,7.06,0.45,98,0.8
2.09,16.84,165.46,64,188.28,6.77,0.6,10,0.7
2.494,22.21,536.18,34,188.28,7.28,0.4,25,0.6
1.591,17.84,161.66,93,156.9,6.9,0.35,13,0.8
1.568,18.31,502.33,24,167.36,7.28,0.42,10,0.5
1.069,14.81,161.79,37,188.28,7.1,0.5,11,0.8
1.401,13.97,389.38,26,209.2,7.03,0.35,10,0.9
1.52,16.45,450.1,17,177.82,6.96,0.65,10,0.7
1.449,16.14,501.11,28,240.58,7.06,0.41,12,0.9
1.378,15.45,141.89,21,167.36,7.3,0.58,11,0.5
1.188,13.19,137.14,63,209.2,6.65,0.45,9,0.6
3.325,19.07,545.8,40,177.82,6.91,0.72,10,0.5
5.392,7.34,199.03,68,188.28,7.2,0.92,16,0.8
3.539,13.89,482.03,20,209.2,7.44,0.9,15,0.9
4.086,12.27,505.48,20,230.12,7.5,1.32,10,0.9
2.755,7.117,476.29,55,188.28,7.71,1,17,0.9
4.323,16.73,433.14,55,271.96,6.59,0.87,17,0.7
4.703,19.9,485.99,40,240.58,6.86,0.93,10,0.7
4.798,15.47,475,30,230.12,7.62,0.85,12,0.5
1.817,12.84,341.05,6,234.08,6.89,0.5,24,0.5
1.437,13.71,438.22,6,180.88,7.05,0.52,31,0.6
4.394,37.26,409.92,14,230.12,5.56,0.9,11,0.7
4.181,36,225.04,23,240.58,5.37,0.98,7,0.6
4.466,36.84,534.52,18,230.12,5.42,1.49,10,0.7
3.919,21.63,575.18,18,219.66,6.77,1.04,10,0.5
4.513,24.03,527.45,18,177.82,7.15,1.23,10,0.6
3.919,20.04,512.41,19,198.74,7.48,1.31,298,0.9
3.943,23.19,502.44,37,156.9,7.43,1.08,13,0.5
4.632,23.91,485.43,30,177.82,7.32,1.42,12,0.8
5.012,36.03,265.77,20,209.2,5.75,1.12,10,0.6
3.539,33.3,271.61,22,240.58,6.4,1.23,10,0.6
4.774,35.95,295.21,28,188.28,6.57,0.87,16,0.6
5.249,37.79,583.64,24,219.66,7.39,1.57,12,0.7
3.468,34.11,587.49,29,177.82,7.43,1.26,85,0.9
4.394,28.62,599.03,25,177.82,7.55,1.48,89,0.7
